date,event,ticker,shares,price,value,cost
2026-09-11,MARK,,,,1000.0,
2026-09-14,FILL,MSFT,0.0744,497.5,37.04,0.037
2026-09-14,FILL,AMZN,0.1462,253.375,37.04,0.037
2026-09-14,FILL,GOOGL,0.1079,343.2,37.04,0.037
2026-09-14,FILL,META,0.0563,657.62,37.04,0.037
2026-09-14,FILL,ORCL,0.2619,141.42,37.04,0.037
2026-09-14,FILL,NVDA,0.1755,211.08,37.04,0.037
2026-09-14,FILL,AMD,0.0762,486.13,37.04,0.037
2026-09-14,FILL,AVGO,0.106,349.46,37.04,0.037
2026-09-14,FILL,TSM,0.089,416.01,37.04,0.037
2026-09-14,FILL,MRVL,0.1714,216.042,37.04,0.037
2026-09-14,FILL,MU,0.0408,906.75,37.04,0.037
2026-09-14,FILL,ARM,0.1528,242.38,37.04,0.037
2026-09-14,FILL,ASML,0.0232,1594.8101,37.04,0.037
2026-09-14,FILL,QCOM,0.2169,170.78,37.04,0.037
2026-09-14,FILL,INTC,0.3869,95.72,37.04,0.037
2026-09-14,FILL,CRWV,0.4491,82.4725,37.04,0.037
2026-09-14,FILL,NBIS,0.1807,204.98,37.04,0.037
2026-09-14,FILL,IREN,0.8829,41.95,37.04,0.037
2026-09-14,FILL,APLD,1.5157,24.436,37.04,0.037
2026-09-14,FILL,WULF,2.3941,15.47,37.04,0.037
2026-09-14,FILL,CORZ,2.1653,17.105,37.04,0.037
2026-09-14,FILL,CIFR,2.3826,15.545,37.04,0.037
2026-09-14,FILL,HUT,0.4013,92.3,37.04,0.037
2026-09-14,FILL,SMCI,0.9898,37.42,37.04,0.037
2026-09-14,FILL,DELL,0.0688,538.57,37.04,0.037
2026-09-14,FILL,ANET,0.1951,189.82,37.04,0.037
2026-09-14,FILL,VRT,0.1624,228.0,37.04,0.037
2026-09-14,MARK,,,,1007.06,
2026-09-15,MARK,,,,995.34,
2026-09-16,MARK,,,,1016.3,
2026-09-17,MARK,,,,1051.41,
2026-09-18,MARK,,,,1070.95,
2026-09-21,MARK,,,,,
2026-09-22,FILL,MSFT,-0.0744,507.515,-37.78,0.0378
2026-09-22,FILL,AMZN,-0.1462,255.38,-37.33,0.0373
2026-09-22,FILL,GOOGL,-0.1079,357.905,-38.62,0.0386
2026-09-22,FILL,META,-0.0563,731.475,-41.2,0.0412
2026-09-22,FILL,ORCL,-0.2619,151.25,-39.61,0.0396
2026-09-22,FILL,NVDA,-0.1755,226.91,-39.81,0.0398
2026-09-22,FILL,AMD,-0.0762,607.1,-46.25,0.0463
2026-09-22,FILL,AVGO,-0.106,363.23,-38.5,0.0385
2026-09-22,FILL,TSM,-0.089,441.22,-39.28,0.0393
2026-09-22,FILL,MRVL,-0.1714,255.25,-43.76,0.0438
2026-09-22,FILL,MU,-0.0408,1033.28,-42.21,0.0422
2026-09-22,FILL,ARM,-0.1528,319.41,-48.81,0.0488
2026-09-22,FILL,ASML,-0.0232,1696.08,-39.39,0.0394
2026-09-22,FILL,QCOM,-0.2169,192.12,-41.67,0.0417
2026-09-22,FILL,INTC,-0.3869,120.11,-46.47,0.0465
2026-09-22,FILL,CRWV,-0.4491,85.8,-38.53,0.0385
2026-09-22,FILL,NBIS,-0.1807,233.51,-42.19,0.0422
2026-09-22,FILL,IREN,-0.8829,46.985,-41.48,0.0415
2026-09-22,FILL,APLD,-1.5157,28.16,-42.68,0.0427
2026-09-22,FILL,WULF,-2.3941,17.31,-41.44,0.0414
2026-09-22,FILL,CORZ,-2.1653,18.24,-39.49,0.0395
2026-09-22,FILL,CIFR,-2.3826,18.48,-44.03,0.044
2026-09-22,FILL,HUT,-0.4013,101.96,-40.91,0.0409
2026-09-22,FILL,SMCI,-0.9898,41.26,-40.84,0.0408
2026-09-22,FILL,DELL,-0.0688,569.8,-39.18,0.0392
2026-09-22,FILL,ANET,-0.1951,204.35,-39.87,0.0399
2026-09-22,FILL,VRT,-0.1624,250.3,-40.66,0.0407
2026-09-22,MARK,,,,1109.9,
2026-09-23,FILL,MSFT,0.0821,500.755,41.11,0.0411
2026-09-23,FILL,AMZN,0.1623,253.33,41.11,0.0411
2026-09-23,FILL,GOOGL,0.1175,349.78,41.11,0.0411
2026-09-23,FILL,META,0.055,747.95,41.11,0.0411
2026-09-23,FILL,ORCL,0.2772,148.3,41.11,0.0411
2026-09-23,FILL,NVDA,0.1802,228.08,41.11,0.0411
2026-09-23,FILL,AMD,0.0661,622.15,41.11,0.0411
2026-09-23,FILL,AVGO,0.1135,362.2,41.11,0.0411
2026-09-23,FILL,TSM,0.0914,449.79,41.11,0.0411
2026-09-23,FILL,MRVL,0.1568,262.12,41.11,0.0411
2026-09-23,FILL,MU,0.0374,1099.9399,41.11,0.0411
2026-09-23,FILL,ARM,0.1239,331.72,41.11,0.0411
2026-09-23,FILL,ASML,0.0237,1730.84,41.11,0.0411
2026-09-23,FILL,QCOM,0.2059,199.613,41.11,0.0411
2026-09-23,FILL,INTC,0.332,123.81,41.11,0.0411
2026-09-23,FILL,CRWV,0.4616,89.045,41.11,0.0411
2026-09-23,FILL,NBIS,0.1748,235.16,41.11,0.0411
2026-09-23,FILL,IREN,0.8539,48.14,41.11,0.0411
2026-09-23,FILL,APLD,1.4269,28.808,41.11,0.0411
2026-09-23,FILL,WULF,2.3983,17.14,41.11,0.0411
2026-09-23,FILL,CORZ,2.1959,18.72,41.11,0.0411
2026-09-23,FILL,CIFR,2.1658,18.98,41.11,0.0411
2026-09-23,FILL,HUT,0.3903,105.33,41.11,0.0411
2026-09-23,FILL,SMCI,0.9713,42.32,41.11,0.0411
2026-09-23,FILL,DELL,0.0735,559.0,41.11,0.0411
2026-09-23,FILL,ANET,0.2001,205.455,41.11,0.0411
2026-09-23,FILL,VRT,0.162,253.675,41.11,0.0411
2026-09-23,MARK,,,,1087.56,
