date,event,ticker,shares,price,value,cost
2026-09-11,MARK,,,,1000.0,
2026-09-14,FILL,MSFT,0.1256,497.5,62.5,0.0625
2026-09-14,FILL,AMZN,0.2467,253.375,62.5,0.0625
2026-09-14,FILL,GOOGL,0.1821,343.2,62.5,0.0625
2026-09-14,FILL,META,0.095,657.62,62.5,0.0625
2026-09-14,FILL,ORCL,0.4419,141.42,62.5,0.0625
2026-09-14,FILL,NVDA,0.2961,211.08,62.5,0.0625
2026-09-14,FILL,AMD,0.1286,486.13,62.5,0.0625
2026-09-14,FILL,AVGO,0.1788,349.46,62.5,0.0625
2026-09-14,FILL,MU,0.0689,906.75,62.5,0.0625
2026-09-14,FILL,MRVL,0.2893,216.042,62.5,0.0625
2026-09-14,FILL,QCOM,0.366,170.78,62.5,0.0625
2026-09-14,FILL,INTC,0.6529,95.72,62.5,0.0625
2026-09-14,FILL,DELL,0.116,538.57,62.5,0.0625
2026-09-14,FILL,ANET,0.3293,189.82,62.5,0.0625
2026-09-14,FILL,SMCI,1.6702,37.42,62.5,0.0625
2026-09-14,FILL,VRT,0.2741,228.0,62.5,0.0625
2026-09-14,MARK,,,,1010.12,
2026-09-15,MARK,,,,1010.24,
2026-09-16,FILL,QCOM,-0.0278,189.17,-5.26,0.0053
2026-09-16,MARK,,,,1022.56,
2026-09-17,MARK,,,,1059.99,
2026-09-18,MARK,,,,1059.69,
2026-09-21,MARK,,,,1059.69,
2026-09-22,FILL,AMD,-0.0152,607.1,-9.24,0.0092
2026-09-22,FILL,QCOM,0.02,192.12,3.85,0.0038
2026-09-22,MARK,,,,1112.12,
2026-09-23,FILL,MSFT,0.0134,500.755,6.7,0.0067
2026-09-23,FILL,AMZN,0.0281,253.33,7.12,0.0071
2026-09-23,FILL,MU,-0.0056,1099.9399,-6.2,0.0062
2026-09-23,FILL,MRVL,-0.0237,262.12,-6.22,0.0062
2026-09-23,FILL,INTC,-0.0907,123.81,-11.23,0.0112
2026-09-23,FILL,DELL,0.0085,559.0,4.74,0.0047
2026-09-23,MARK,,,,1098.4,
2026-09-24,FILL,GOOGL,0.0181,336.235,6.09,0.0061
2026-09-24,MARK,,,,1100.34,
