ticker,n_events,first,last,with_surprise
MSFT,99,2002-01-17,2026-07-29,98
AMZN,92,2002-04-23,2026-07-30,92
GOOGL,87,2005-02-01,2026-07-22,87
META,57,2012-07-26,2026-07-29,57
ORCL,98,2002-06-18,2026-09-10,98
NVDA,71,2006-11-09,2026-08-26,70
AMD,98,2002-01-16,2026-08-04,98
AVGO,69,2009-12-03,2026-09-02,69
TSM,98,2000-04-25,2026-07-16,98
MRVL,96,2002-02-28,2026-08-27,95
MU,99,2001-12-18,2026-06-24,99
ARM,12,2023-11-09,2026-07-29,12
ASML,99,2001-01-18,2026-07-13,99
QCOM,99,2002-01-24,2026-07-29,98
INTC,98,2002-04-16,2026-07-23,98
CRWV,6,2025-05-14,2026-08-11,6
NBIS,52,2011-07-28,2026-08-12,52
IREN,15,2022-02-09,2026-08-27,15
APLD,16,2022-05-13,2026-07-27,15
WULF,18,2022-05-16,2026-08-05,17
CORZ,11,2024-03-13,2026-07-28,11
CIFR,16,2022-11-14,2026-08-04,16
HUT,10,2024-05-15,2026-08-04,10
SMCI,70,2007-05-09,2026-08-11,69
DELL,31,2019-03-29,2026-09-01,31
ANET,49,2014-08-07,2026-08-04,49
VRT,26,2020-05-05,2026-07-29,26
