pair,bucket,train_years,train_coint_p,beta,oos_adf_p,train_pass
GOOGL/MSFT,hyperscaler,13.0,0.0029839616319907807,1.256,0.17298956636584384,False
ASML/TSM,chip,13.0,0.02147537320515641,1.145,0.7739699020244597,False
GOOGL/META,hyperscaler,5.6,0.04868255737665085,0.494,0.8615522763345531,False
AMZN/ORCL,hyperscaler,13.0,0.06729015326871887,2.32,0.6410762779037265,False
META/ORCL,hyperscaler,5.6,0.09988167775640133,3.487,0.5226306904700988,False
ASML/QCOM,chip,13.0,0.10913406938801956,2.119,0.01646157302784904,False
AVGO/INTC,chip,8.4,0.12480304218844468,2.784,0.6704317321851461,False
INTC/TSM,chip,13.0,0.14133771445197119,0.528,0.5645640864743887,False
AMD/MRVL,chip,13.0,0.1434518056592548,1.971,0.3591431604833305,False
ASML/INTC,chip,13.0,0.15174888163864492,1.825,0.5500915830173712,False
QCOM/TSM,chip,13.0,0.1543648179806852,0.416,0.04547626916585168,False
AMZN/GOOGL,hyperscaler,13.0,0.15838913177835506,1.707,0.9555594786203218,False
META/MSFT,hyperscaler,5.6,0.18374805923673987,1.743,0.13325429397409344,False
GOOGL/ORCL,hyperscaler,13.0,0.20907344869860256,1.222,0.18063503008556187,False
AVGO/TSM,chip,8.4,0.326852788761915,1.805,0.7402566737069707,False
MRVL/MU,chip,13.0,0.3983696958424153,0.239,0.7902322945675229,False
MRVL/NVDA,chip,13.0,0.454529335784411,0.079,0.9261437041178533,False
MRVL/QCOM,chip,13.0,0.47259261475737324,-0.145,0.9459316641669212,False
AMD/QCOM,chip,13.0,0.4779847816368171,-1.269,0.6650734698827276,False
MRVL/TSM,chip,13.0,0.5233709740678876,-0.081,0.9533759743432432,False
ASML/AVGO,chip,8.4,0.5243890343302269,0.526,0.36896457891669543,False
ASML/MU,chip,13.0,0.5321090504016956,0.754,0.6000318867111906,False
AMD/NVDA,chip,13.0,0.5958845371546936,0.147,0.6339534589602132,False
INTC/MU,chip,13.0,0.6086787732938121,0.41,0.4737153774204573,False
INTC/NVDA,chip,13.0,0.6252601290180545,0.339,0.6830352087726038,False
AMZN/MSFT,hyperscaler,13.0,0.6295998193829133,2.147,0.5076294090450394,False
AMD/MU,chip,13.0,0.6642877262547968,0.205,0.4892550970890414,False
MU/NVDA,chip,13.0,0.6642880996768703,0.503,0.9211107527304752,False
MU/TSM,chip,13.0,0.6684378152123516,0.645,0.9923004001732857,False
INTC/QCOM,chip,13.0,0.6710762460284179,0.909,0.6427395722171855,False
AMZN/META,hyperscaler,5.6,0.6758746623568035,0.707,0.004068214419836041,False
AMD/INTC,chip,13.0,0.6844957305609819,-0.473,0.8439113049326835,False
AVGO/NVDA,chip,8.4,0.719225470910801,0.916,0.35785713979755207,False
AMD/ASML,chip,13.0,0.756868570927633,-0.467,0.8248150751164594,False
AMD/TSM,chip,13.0,0.7615403617234562,-0.517,0.8854875699610804,False
MU/QCOM,chip,13.0,0.7947279737630932,1.185,0.9921012327572927,False
AVGO/MU,chip,8.4,0.8104494367302518,1.103,0.749011584520336,False
AMD/AVGO,chip,8.4,0.818783075773307,0.005,0.7456217147316769,False
ASML/NVDA,chip,13.0,0.847770602550435,0.633,0.6519562531862306,False
AVGO/QCOM,chip,8.4,0.918605289061806,2.378,0.27212887232087857,False
MSFT/ORCL,hyperscaler,13.0,0.9536138339374958,0.826,0.09770360177915977,False
NVDA/TSM,chip,13.0,0.9561172216907657,0.949,0.8281044829789304,False
ASML/MRVL,chip,13.0,0.9739912648719583,-0.298,0.9304398784858952,False
INTC/MRVL,chip,13.0,0.9742144155524399,0.05,0.6863261454496065,False
AVGO/MRVL,chip,8.4,0.9747549081334318,0.032,0.9770574905209645,False
NVDA/QCOM,chip,13.0,0.9903496591894818,1.114,0.9548159507527293,False
