train_start,train_end,test_start,test_end,chosen,train_score,test_score
2005-01-03,2008-01-03,2008-01-04,2008-07-03,lb63/top0.50,1.242962302559033,-0.9547437862746988
2005-07-05,2008-07-03,2008-07-07,2009-01-02,lb63/top0.50,0.91722131502215,-1.1053634496953848
2006-01-03,2009-01-02,2009-01-05,2009-07-06,lb63/top0.50,0.02825773007340039,1.2038873154629888
2006-07-05,2009-07-06,2009-07-07,2010-01-04,lb252/top0.50,0.27265456833344076,3.388660716128019
2007-01-04,2010-01-04,2010-01-05,2010-07-06,lb63/top0.50,0.5779118330295063,-0.6669488733771908
2007-07-06,2010-07-06,2010-07-07,2011-01-03,lb63/top0.50,0.330605004408576,2.674117905784076
2008-01-04,2011-01-03,2011-01-04,2011-07-05,lb63/top0.50,0.4534009773113393,0.4312275048209822
2008-07-07,2011-07-05,2011-07-06,2012-01-03,lb63/top0.50,0.63359699154355,0.03708458334875816
2009-01-05,2012-01-03,2012-01-04,2012-07-03,lb63/top0.50,1.0796333913241443,0.1946740240730469
2009-07-07,2012-07-03,2012-07-05,2013-01-04,lb63/top0.50,0.9508736789193257,0.5224007497994688
2010-01-05,2013-01-04,2013-01-07,2013-07-08,lb63/top0.50,0.37231517820464444,2.12901262214557
2010-07-07,2013-07-08,2013-07-09,2014-01-06,lb252/top0.50,0.8474231069593777,3.3906460109057233
2011-01-04,2014-01-06,2014-01-07,2014-07-08,lb252/top0.50,0.979033609221801,1.4671782830317326
2011-07-06,2014-07-08,2014-07-09,2015-01-06,lb252/top0.50,1.1236312297458522,0.909207871611498
2012-01-04,2015-01-06,2015-01-07,2015-07-08,lb252/top0.25,1.6724329934259454,0.3814423400544522
2012-07-05,2015-07-08,2015-07-09,2016-01-06,lb252/top0.25,1.532820095910569,1.3154773261540536
2013-01-07,2016-01-06,2016-01-07,2016-07-07,lb252/top0.25,1.5991821705097398,1.7668280713722495
2013-07-09,2016-07-07,2016-07-08,2017-01-05,lb252/top0.33,1.6203607531970639,3.267256567595519
2014-01-07,2017-01-05,2017-01-06,2017-07-07,lb252/top0.25,1.7399742899262658,1.4602638723125159
2014-07-09,2017-07-07,2017-07-10,2018-01-05,lb252/top0.33,1.7169985194884645,2.081455628562172
2015-01-07,2018-01-05,2018-01-08,2018-07-09,lb126/top0.50,1.9233816100624872,1.0555052854887
2015-07-09,2018-07-09,2018-07-10,2019-01-08,lb126/top0.50,1.9946262191060278,-0.8225071222648278
2016-01-07,2019-01-08,2019-01-09,2019-07-10,lb126/top0.25,1.6742669594490915,1.2348180997693843
2016-07-08,2019-07-10,2019-07-11,2020-01-08,lb126/top0.25,1.7235508795465548,1.9092014516880822
2017-01-06,2020-01-08,2020-01-09,2020-07-09,lb126/top0.25,1.4221665522609088,1.1277963894347827
2017-07-10,2020-07-09,2020-07-10,2021-01-07,lb126/top0.33,1.187574520994675,1.900327645717848
2018-01-08,2021-01-07,2021-01-08,2021-07-09,lb63/top0.33,1.1421185051784128,1.1052774317447411
2018-07-10,2021-07-09,2021-07-12,2022-01-06,lb63/top0.50,1.1924350709480493,1.6354566381029192
2019-01-09,2022-01-06,2022-01-07,2022-07-11,lb63/top0.50,1.5843271507232208,-1.732752838628853
2019-07-11,2022-07-11,2022-07-12,2023-01-09,lb63/top0.33,0.8632698584838884,-0.2128503159805279
2020-01-09,2023-01-09,2023-01-10,2023-07-12,lb126/top0.25,0.7502980442998372,3.7248983466964
2020-07-10,2023-07-12,2023-07-13,2024-01-10,lb126/top0.25,1.176216973921869,0.07578680445221718
2021-01-08,2024-01-10,2024-01-11,2024-07-12,lb252/top0.33,1.0003181853825656,2.1840195169051926
2021-07-12,2024-07-12,2024-07-15,2025-01-13,lb126/top0.33,1.3128100831735237,0.21030962351005128
2022-01-07,2025-01-13,2025-01-14,2025-07-16,lb126/top0.50,1.1247723724205587,0.30063671521004626
2022-07-12,2025-07-16,2025-07-17,2026-01-14,lb252/top0.33,1.4774081427635386,2.5060469871197615
2023-01-10,2026-01-14,2026-01-15,2026-07-17,lb63/top0.50,1.8611256549766364,1.6087922962553682
